Product Name,Price,Date/Time
Catalyst Pharmaceuticals,362.12M,2020-08-20 22:56:35.496780
Corbus Pharmaceuticals,640.21M,2020-08-20 22:56:35.496780
Viking Therapeutics,565.32M,2020-08-20 22:56:35.496780
Everi,619.52M,2020-08-20 22:56:35.496780
Inseego,1.15B,2020-08-20 22:56:35.496780
Rigel Pharmaceuticals,431.61M,2020-08-20 22:56:35.496780
Matinas BioPharma,168.05M,2020-08-20 22:56:35.496780
GrowGeneration,931.15M,2020-08-20 22:56:35.496780
Bilibili,11.87B,2020-08-20 22:56:35.496780
Tencent,625.63B,2020-08-20 22:56:35.496780
Glu Mobile,1.40B,2020-08-20 22:56:35.496780
Livongo,13.56B,2020-08-20 22:56:35.496780
Sunrun,5.78B,2020-08-20 22:56:35.496780
Limelight Networks,781.87M,2020-08-20 22:56:35.496780
Alphabet Class A,1.06T,2020-08-20 22:56:35.496780
Microsoft,1.60T,2020-08-20 22:56:35.496780
Salesforce,186.28B,2020-08-20 22:56:35.496780
Alphabet Class C,1.06T,2020-08-20 22:56:35.496780
Facebook,755.69B,2020-08-20 22:56:35.496780
Uber,51.77B,2020-08-20 22:56:35.496780
Aphria,1.32B,2020-08-20 22:56:35.496780
Taiwan Semiconductor Manufacturing,399.64B,2020-08-20 22:56:35.496780
PayPal,231.25B,2020-08-20 22:56:35.496780
Mastercard,333.90B,2020-08-20 22:56:35.496780
Moderna,26.55B,2020-08-20 22:56:35.496780
NVIDIA,299.82B,2020-08-20 22:56:35.496780
Zynga,10.13B,2020-08-20 22:56:35.496780
Plug Power,4.44B,2020-08-20 22:56:35.496780
TherapeuticsMD,457.02M,2020-08-20 22:56:35.496780
Micron Technology,47.75B,2020-08-20 22:56:35.496780
Abbott,179.73B,2020-08-20 22:56:35.496780
AbbVie,167.31B,2020-08-20 22:56:35.497777
Twilio,38.02B,2020-08-20 22:56:35.497777
Cloudflare,12.17B,2020-08-20 22:56:35.497777
CrowdStrike Holdings,24.16B,2020-08-20 22:56:35.497777
Zynerba Pharmaceuticals,109.71M,2020-08-20 22:56:35.497777
Dropbox,8.28B,2020-08-20 22:56:35.497777
Apple,2.00T,2020-08-20 22:56:35.497777
AstraZeneca,147.89B,2020-08-20 22:56:35.497777
Qualcomm,124.75B,2020-08-20 22:56:35.497777
CRISPR,6.92B,2020-08-20 22:56:35.497777
Amarin,2.67B,2020-08-20 22:56:35.497777
Roku,18.57B,2020-08-20 22:56:35.497777
Nokia,28.22B,2020-08-20 22:56:35.497777
Snap,31.93B,2020-08-20 22:56:35.497777
Lyft,8.41B,2020-08-20 22:56:35.497777
Ericsson,35.30B,2020-08-20 22:56:35.497777
DocuSign,39.26B,2020-08-20 22:56:35.497777
Realty Income,21.08B,2020-08-20 22:56:35.497777
Fastly,9.27B,2020-08-20 22:56:35.497777
Cisco,178.33B,2020-08-20 22:56:35.497777
Slack,16.87B,2020-08-20 22:56:35.497777
Spotify,49.01B,2020-08-20 22:56:35.497777
Teladoc Health,17.63B,2020-08-20 22:56:35.497777
iQIYI,6.08B,2020-08-20 22:56:35.497777
Pinterest,20.66B,2020-08-20 22:56:35.497777
Zoom,81.51B,2020-08-20 22:56:35.497777
AMD,97.17B,2020-08-20 22:56:35.497777
Boeing,95.75B,2020-08-20 22:56:35.497777
Square,69.76B,2020-08-20 22:56:35.497777
Shopify,123.78B,2020-08-20 22:56:35.497777
Gilead Sciences,82.42B,2020-08-20 22:56:35.497777
BioNTech SE,15.55B,2020-08-20 22:56:35.497777
Verizon,243.52B,2020-08-20 22:56:35.497777
Intel,208.84B,2020-08-20 22:56:35.497777
AT&T,211.93B,2020-08-20 22:56:35.497777
Jumia Technologies,862.49M,2020-08-20 22:56:35.497777
Inovio,2.47B,2020-08-20 22:56:35.497777
IBM,109.91B,2020-08-20 22:56:35.497777
